p_year,cpiurs
1967,57.4
1968,59.7
1969,62.3
1970,65.3
1971,68.2
1972,70.3
1973,74.7
1974,82.1
1975,88.9
1976,94
1977,100
1978,104.4
1979,114.4
1980,127.1
1981,139.2
1982,147.6
1983,153.9
1984,160.2
1985,165.7
1986,168.7
1987,174.4
1988,180.8
1989,188.6
1990,198
1991,205.1
1992,210.3
1993,215.5
1994,220.1
1995,225.4
1996,231.4
1997,236.4
1998,239.7
1999,244.7
2000,252.9
2001,260
2002,264.2
2003,270.1
2004,277.4
2005,286.7
2006,296.1
2007,304.5
2008,316.2
2009,315
2010,320.2
2011,330.3
